Numéro;Petite région agricole;Région agricole SAFER;Région agricole MdA;Vieille Région agricole MdA;code pra;code safer;code minister;code insee
63;Limagne viticole;Limagne viticole, Plaine de Lembron;Limagne viticole, plaine de Lembron;Limagne viticole;pra474;ra269;ram269;63176
63;Livradois;Livradois, Ambert, Forez, Plaine de la Dore;Livradois, Ambert, Forez, plaine de la Dore;Livradois;pra475;ra270;ram270;63174
63;Mont du Forez;Livradois, Ambert, Forez, Plaine de la Dore;Livradois, Ambert, Forez, plaine de la Dore;Mont du Forez;pra476;ra270;ram270;63425
63;Périphérie des Dômes;Dômes et périphérie, Cézallier, Artense;Dômes et péripherie, Cézallier, Artense;Périphérie des Dômes;pra477;ra266;ram266;63165
63;Plaine d'Ambert;Livradois, Ambert, Forez, Plaine de la Dore;Livradois, Ambert, Forez, plaine de la Dore;Plaine d'Ambert;pra478;ra270;ram270;63173
63;Plaine de la Dore;Livradois, Ambert, Forez, Plaine de la Dore;Livradois, Ambert, Forez, plaine de la Dore;Plaine de la Dore;pra479;ra270;ram270;63175
63;Plaine de Lembron;Limagne viticole, Plaine de Lembron;Limagne viticole, plaine de Lembron;Plaine de Lembron;pra480;ra269;ram269;63427
64;Chalosse;Coteaux du Béarn;Coteaux du Béarn;Chalosse;pra481;ra271;ram271;64382
64;Côte basque;Coteaux basques;Coteaux basques;Côte basque;pra482;ra272;ram272;64138
64;Coteaux du Béarn;Coteaux du Béarn;Coteaux du Béarn;Coteaux du Béarn;pra483;ra271;ram271;64381
64;Coteaux du Pays Basque;Coteaux basques;Coteaux basques;Coteaux du Pays Basque;pra484;ra272;ram272;64139
64;Coteaux entre les Gaves;Vallées et coteaux des Gaves;Vallées et coteaux des Gaves;Coteaux entre les Gaves;pra485;ra273;ram273;64141
64;Montagne basque;Montagnes;Montagnes;Montagne basque;pra486;ra274;ram274;64140
64;Montagne du Béarn;Montagnes;Montagnes;Montagne du Béarn;pra487;ra274;ram274;64142
64;Vallée de l'Adour;Coteaux basques;Coteaux basques;Vallée de l'Adour;pra488;ra272;ram272;64143
64;Vallée du Gave de Pau;Vallées et coteaux des Gaves;Vallées et coteaux des Gaves;Vallée du Gave de Pau;pra489;ra273;ram273;64379
64;Vallée du Gave d'Oloron;Vallées et coteaux des Gaves;Vallées et coteaux des Gaves;Vallée du Gave d'Oloron;pra490;ra273;ram273;64380
64;Vic-Bilh;Coteaux du Béarn;Coteaux du Béarn;Vic-Bilh;pra491;ra271;ram271;64386
65;Astarac;Haute-vallée de l'Adour et coteaux;Haute vallée de l'Adour et coteaux;Astarac;pra492;ra275;ram275;65383
65;Coteaux de Bigorre;Montagne et coteaux de Biqorre;Montagne et coteaux de Bigorre;Coteaux de Bigorre;pra493;ra276;ram276;65148
65;Coteaux de Gascogne;Haute-vallée de l'Adour et coteaux;Haute vallée de l'Adour et coteaux;Coteaux de Gascogne;pra494;ra275;ram275;65389
65;Coteaux nord;Haute-vallée de l'Adour et coteaux;Haute vallée de l'Adour et coteaux;Coteaux nord;pra495;ra275;ram275;65381
65;Haute-vallée de l'Adour;Haute-vallée de l'Adour et coteaux;Haute vallée de l'Adour et coteaux;Haute-vallée de l'Adour;pra496;ra275;ram275;65150
65;Montagne de Bigorre;Montagne et coteaux de Biqorre;Montagne et coteaux de Bigorre;Montagne de Bigorre;pra497;ra276;ram276;65146
65;Rivière basse;Haute-vallée de l'Adour et coteaux;Haute vallée de l'Adour et coteaux;Rivière basse;pra498;ra275;ram275;65387
65;Vic-Bilh et Madiran;Haute-vallée de l'Adour et coteaux;Haute vallée de l'Adour et coteaux;Vic-Bilh et Madiran;pra499;ra275;ram275;65386
66;Capcir;Conflent, Cerdagne, Capcir, Fenouillède;Conflent, Cerdagne, Capcir, Fenouillède;Capcir;pra500;ra277;ram277;66257
66;Cerdagne;Conflent, Cerdagne, Capcir, Fenouillède;Conflent, Cerdagne, Capcir, Fenouillède;Cerdagne;pra501;ra277;ram277;66256
66;Conflent;Conflent, Cerdagne, Capcir, Fenouillède;Conflent, Cerdagne, Capcir, Fenouillède;Conflent;pra502;ra277;ram277;66255
66;Corbières du Roussillon;Corbières du Roussillon;Corbières du Roussillon;Corbières du Roussillon;pra503;ra278;ram278;66470
66;Cru Banyuls;Plaine du Roussillon, Cru Banyuls;Plaine du Roussillon, cru Banyuls;Cru Banyuls;pra504;ra279;ram279;66254
66;Fenouillède;Conflent, Cerdagne, Capcir, Fenouillède;Conflent, Cerdagne, Capcir, Fenouillède;Fenouillède;pra505;ra277;ram277;66472
66;Plaine du Roussillon;Plaine du Roussillon, Cru Banyuls;Plaine du Roussillon, cru Banyuls;Plaine du Roussillon;pra506;ra279;ram279;66252
66;Vallespir et Albères;Vallespir et Albères;Vallespir et Albères;Vallespir et Albères;pra507;ra280;ram280;66253
67;Montagne vosgienne;Montagne vosgienne;Montagne vosgienne;Montagne vosgienne;pra508;ra281;ram281;67307
67;Plaine du Rhin;Plaine du Rhin;Plaine du Rhin;Plaine du Rhin;pra509;ra282;ram282;67301
67;Plateau lorrain nord;Plateau lorrain nord;Plateau lorrain nord;Plateau lorrain nord;pra510;ra283;ram283;67473
67;Région sous-vosgienne;Région sous-vosgienne;Région sous-vosgienne;Région sous-vosgienne;pra511;ra284;ram284;67304
67;Ried;Ried;Ried;Ried;pra512;ra285;ram285;67302
68;Collines sous-vosgiennes;Collines sous-vosgiennes;Collines sous-vosgiennes;Collines sous-vosgiennes;pra513;ra286;ram286;68304
68;Hardt;Hardt, Ochsenfeld, Ried;Hardt, Ochsenfeld, Ried, plaine du Rhin;Hardt;pra514;ra287;ram287;68001
68;Jura;Jura;Jura;Jura;pra515;ra288;ram288;68450
68;Montagne vosgienne;Montagne vosgienne;Montagne vosgienne;Montagne vosgienne;pra516;ra289;ram289;68307
68;Ochsenfeld;Hardt, Ochsenfeld, Ried;Hardt, Ochsenfeld, Ried, plaine du Rhin;Ochsenfeld;pra517;ra287;ram287;68002
68;Plaine du Rhin;Plaine du Rhin;Plaine du Rhin;Plaine du Rhin;pra518;ra290;ram290;68301
68;Ried;Hardt, Ochsenfeld, Ried;Hardt, Ochsenfeld, Ried, plaine du Rhin;Ried;pra519;ra287;ram287;68302
68;Sundgau;Sundgau;Sundgau;Sundgau;pra520;ra291;ram291;68303
69;Bas-Dauphiné;Vallées et plaines nord et est de Lyon;Vallée et plaines Nord et Est de Lyon;Bas-Dauphiné;pra521;ra292;ram292;69199
69;Beaujolais viticole;Beaujolais viticole;Beaujolais viticole;Beaujolais viticole;pra522;ra293;ram293;69444
69;Monts du Lyonnais;Monts du Lyonnais;Monts du Lyonnais;Monts du Lyonnais;pra523;ra294;ram294;69445
69;Plateaux du Lyonnais;Plateaux du Lyonnais;Plateaux du Lyonnais;Plateaux du Lyonnais;pra524;ra295;ram295;69194
69;Vallée de la Saône;Vallées et plaines nord et est de Lyon;Vallée et plaines Nord et Est de Lyon;Vallée du Rhône;pra525;ra292;ram292;69195
69;Vallée du Rhône;Vallées et plaines nord et est de Lyon;Vallée et plaines Nord et Est de Lyon;Vallée du Rhône;pra526;ra292;ram292;69465
69;Zone de grande culture entre Saône et Beaujolais;Vallées et plaines nord et est de Lyon;Vallée et plaines Nord et Est de Lyon;Zone de grande culture entre Saône et Beaujolais;pra527;ra292;ram292;69197
69;Zone fruitière et viticole du Lyonnais;Vallées et plaines nord et est de Lyon;Vallée et plaines Nord et Est de Lyon;Zone fruitière et viticole du Lyonnais;pra528;ra292;ram292;69200
69;Zone maraîchère de Lyon;Vallées et plaines nord et est de Lyon;Vallée et plaines Nord et Est de Lyon;Zone maraîchère de Lyon;pra529;ra292;ram292;69196
70;Hautes-Vosges;Région vosgienne et sous-vosgienne;Région vosgienne et sous-vosgienne;Hautes-Vosges;pra530;ra296;ram296;70307
70;Plaine grayloise;Plaine grayloise;Plaine grayloise;Plaine grayloise;pra531;ra297;ram297;70205
70;Plaines et basses vallées du Doubs et de l'Ognon;Vallée de l'Ognon et Trouée de Belfort;Vallée de l'Ognon et Trouée de Belfort;Plaines et basses vallées du Doubs et de l'Ognon;pra532;ra298;ram298;70447
70;Région des plateaux;Région des plateaux;Région des plateaux;Région des plateaux;pra533;ra299;ram299;70007
70;Région sous-vosgienne de Haute-Saône;Région vosgienne et sous-vosgienne;Région vosgienne et sous-vosgienne;Région sous-vosgienne de Haute-Saône;pra534;ra296;ram296;70005
70;Région vosgienne de Haute-Saône;Région vosgienne et sous-vosgienne;Région vosgienne et sous-vosgienne;Région vosgienne de Haute-Saône;pra535;ra296;ram296;70006
70;Trouée de Belfort;Vallée de l'Ognon et Trouée de Belfort;Vallée de l'Ognon et Trouée de Belfort;Trouée de Belfort;pra536;ra298;ram298;70448
70;Vôge;Région vosgienne et sous-vosgienne;Région vosgienne et sous-vosgienne;Vôge;pra537;ra296;ram296;70309
71;Autunois;Sologne bourbonnaise, Autunois, Morvan;Sologne bourbonnaise, Autunois, Morvan;Autunois;pra538;ra300;ram300;71442
71;Bresse chalonnaise;Bresse chalonnaise;Bresse chalonnaise;Bresse chalonnaise;pra539;ra301;ram301;71202
71;Bresse louhannaise;Bresse louhannaise;Bresse louhannaise;Bresse louhannaise;pra540;ra302;ram302;71446
71;Brionnais;Charollais, Brionnais;Charollais, Brionnais;Brionnais;pra541;ra303;ram303;71183
71;Chalonnais;Mâconnais, Chalonnais;Mâconnais, Chalonnais;Chalonnais;pra542;ra304;ram304;71440
71;Charollais;Charollais, Brionnais;Charollais, Brionnais;Charollais;pra543;ra303;ram303;71187
71;Clunysois;Clunysois, Côte chalonnaise;Clunysois, côte chalonnaise;Clunysois;pra544;ra305;ram305;71184
71;Côte chalonnaise;Clunysois, Côte chalonnaise;Clunysois, côte chalonnaise;Côte chalonnaise;pra545;ra305;ram305;71441
71;Mâconnais;Mâconnais, Chalonnais;Mâconnais, Chalonnais;Mâconnais;pra546;ra304;ram304;71444
71;Morvan;Sologne bourbonnaise, Autunois, Morvan;Sologne bourbonnaise, Autunois, Morvan;Morvan;pra547;ra300;ram300;71443
71;Sologne bourbonnaise;Sologne bourbonnaise, Autunois, Morvan;Sologne bourbonnaise, Autunois, Morvan;Sologne bourbonnaise;pra548;ra300;ram300;71429
72;Beaugeois;Sarthe sud;Sarthe Sud;Beaugeois;pra549;ra306;ram306;72345
72;Bélinois;Région mancelle, Belinois;Région mancelle, Bellinois;Bélinois;pra550;ra307;ram307;72090
